time,temperature_2m_max,temperature_2m_min,rain,crop_type,days_since_sowing,growth_stage,stress_level
2021-06-01,35.9,25.6,0.9,Rice,1,Vegetative,High
2021-06-02,34.8,25.2,6.5,Rice,2,Vegetative,Low
2021-06-03,35.4,24.8,4.1,Rice,3,Vegetative,Medium
2021-06-04,34.8,24.8,8.6,Rice,4,Vegetative,Low
2021-06-05,32.1,24.0,11.8,Rice,5,Vegetative,Low
2021-06-06,32.5,24.5,0.0,Rice,6,Vegetative,Low
2021-06-07,34.6,25.8,0.0,Rice,7,Vegetative,Medium
2021-06-08,34.7,26.0,0.0,Rice,8,Vegetative,Medium
2021-06-09,36.0,25.9,0.0,Rice,9,Vegetative,High
2021-06-10,35.2,26.2,0.0,Rice,10,Vegetative,High
2021-06-11,35.5,26.7,0.0,Rice,11,Vegetative,High
2021-06-12,36.5,26.8,0.0,Rice,12,Vegetative,High
2021-06-13,35.5,26.5,0.2,Rice,13,Vegetative,High
2021-06-14,33.6,25.6,0.5,Rice,14,Vegetative,Medium
2021-06-15,35.7,24.5,1.4,Rice,15,Vegetative,High
2021-06-16,35.5,26.4,0.9,Rice,16,Vegetative,High
2021-06-17,35.4,26.8,0.0,Rice,17,Vegetative,High
2021-06-18,36.0,26.5,0.0,Rice,18,Vegetative,High
2021-06-19,35.8,26.3,0.0,Rice,19,Vegetative,High
2021-06-20,37.3,26.6,0.0,Rice,20,Vegetative,High
2021-06-21,37.8,26.6,0.0,Rice,21,Vegetative,High
2021-06-22,37.3,27.5,0.0,Rice,22,Vegetative,High
2021-06-23,37.0,27.0,0.9,Rice,23,Vegetative,High
2021-06-24,35.8,25.0,0.3,Rice,24,Vegetative,High
2021-06-25,36.0,26.5,0.0,Rice,25,Vegetative,High
2021-06-26,35.2,26.7,0.5,Rice,26,Vegetative,High
2021-06-27,31.4,24.8,3.0,Rice,27,Vegetative,Low
2021-06-28,34.2,24.5,0.4,Rice,28,Vegetative,Medium
2021-06-29,34.8,24.6,0.6,Rice,29,Vegetative,Medium
2021-06-30,36.1,26.0,0.7,Rice,30,Flowering,High
2021-07-01,35.9,25.3,15.3,Rice,31,Flowering,Low
2021-07-02,35.1,24.5,26.3,Rice,32,Flowering,Low
2021-07-03,33.7,24.1,4.6,Rice,33,Flowering,Medium
2021-07-04,32.2,24.5,20.5,Rice,34,Flowering,Low
2021-07-05,33.8,23.6,7.2,Rice,35,Flowering,Low
2021-07-06,33.3,23.6,7.9,Rice,36,Flowering,Low
2021-07-07,33.0,24.4,7.3,Rice,37,Flowering,Low
2021-07-08,33.7,25.2,0.9,Rice,38,Flowering,Medium
2021-07-09,31.8,24.3,8.9,Rice,39,Flowering,Low
2021-07-10,30.8,25.3,0.2,Rice,40,Flowering,Low
2021-07-11,32.5,25.2,0.4,Rice,41,Flowering,Low
2021-07-12,31.5,24.9,0.3,Rice,42,Flowering,Low
2021-07-13,33.2,25.3,3.1,Rice,43,Flowering,Medium
2021-07-14,29.9,24.5,6.4,Rice,44,Flowering,Low
2021-07-15,29.0,23.7,1.6,Rice,45,Flowering,Low
2021-07-16,30.0,23.3,1.8,Rice,46,Flowering,Low
2021-07-17,31.9,24.2,9.7,Rice,47,Flowering,Low
2021-07-18,29.0,23.6,12.2,Rice,48,Flowering,Low
2021-07-19,33.5,25.4,0.3,Rice,49,Flowering,Medium
2021-07-20,33.2,25.5,0.0,Rice,50,Flowering,Medium
2021-07-21,32.9,25.9,0.5,Rice,51,Flowering,Low
2021-07-22,30.2,24.5,4.8,Rice,52,Flowering,Low
2021-07-23,32.9,24.4,0.6,Rice,53,Flowering,Low
2021-07-24,34.4,25.5,0.3,Rice,54,Flowering,Medium
2021-07-25,35.2,26.7,0.5,Rice,55,Flowering,High
2021-07-26,34.2,25.8,0.0,Rice,56,Flowering,Medium
2021-07-27,36.1,25.5,0.0,Rice,57,Flowering,High
2021-07-28,35.8,25.5,0.0,Rice,58,Flowering,High
2021-07-29,35.7,25.9,0.0,Rice,59,Flowering,High
2021-07-30,35.0,26.1,0.0,Rice,60,Flowering,Medium
2021-07-31,36.0,26.0,0.1,Rice,61,Flowering,High
2021-08-01,36.2,26.4,0.0,Rice,61,Flowering,High
2021-08-02,36.4,25.6,0.4,Rice,62,Flowering,High
2021-08-03,36.2,26.1,0.0,Rice,63,Flowering,High
2021-08-04,36.5,26.6,0.0,Rice,64,Flowering,High
2021-08-05,36.1,26.2,0.3,Rice,65,Flowering,High
2021-08-06,35.8,26.5,0.2,Rice,66,Flowering,High
2021-08-07,35.8,26.0,1.8,Rice,67,Flowering,High
2021-08-08,35.0,25.0,3.2,Rice,68,Flowering,Medium
2021-08-09,35.1,26.2,2.4,Rice,69,Flowering,Medium
2021-08-10,34.0,24.7,7.5,Rice,70,Flowering,Low
2021-08-11,35.2,26.1,4.8,Rice,71,Flowering,Medium
2021-08-12,33.8,25.0,3.5,Rice,72,Flowering,Medium
2021-08-13,33.5,25.2,2.4,Rice,73,Flowering,Medium
2021-08-14,34.5,25.2,0.1,Rice,74,Flowering,Medium
2021-08-15,34.2,25.0,2.2,Rice,75,Maturity,Medium
2021-08-16,34.0,24.9,0.0,Rice,76,Maturity,Medium
2021-08-17,34.2,24.4,0.0,Rice,77,Maturity,Medium
2021-08-18,35.2,25.5,1.9,Rice,78,Maturity,High
2021-08-19,35.0,24.6,3.0,Rice,79,Maturity,Medium
2021-08-20,36.0,24.3,0.3,Rice,80,Maturity,High
